,Composition,As-cast/other,HardGPa
307,Al23.8Co23.8Cr5Fe23.8Ni23.8,1.0,4.3
308,Al23.8Co4.8Cu23.8Fe23.8Ni23.8,1.0,5.21
309,Al23.8Co5Cr23.8Fe23.8Ni23.8,1.0,5.39
310,Al23.8Cr19Fe19Co19Ni19,1.0,4.83
311,Al23.8Cr23.8Fe23.8Co23.8Ni5,1.0,6.03
312,Al23.8Cr23.8Fe23.8Co5Ni23.8,1.0,5.39
313,Al23.8Cr23.8Fe23.8Ni23.8Mo4.8,1.0,5.38
314,Al23.8Cr23.8Fe4.8Co23.8Ni23.8,1.0,6.25
315,Al23.8Cr23.8Fe5Co23.8Ni23.8,1.0,6.52
316,Al23.8Cr5Fe23.8Co23.8Ni23.8,1.0,4.3
317,Al23.8Fe23.8Co4.8Cu23.8Ni23.8,1.0,5.21
318,Al23Co15Cr23Cu8Fe15Ni16,1.0,5.69
319,Al23Cr23Fe15Co15(CuNi2)8,1.0,5.69
320,Al24.2Cr15.2Cu15.2Fe15.2Ni30.3,1.0,5.39
321,Al24.2Cr15.2Fe15.2Cu15.2Ni30.3,1.0,5.39
322,Al24.5Co18.9Cr18.9Cu18.9Fe18.9,1.0,4.67
323,Al24.5Cr18.9Fe18.9Co18.9Cu18.9,1.0,4.67
324,Al25.9Co18.5Cr18.5Fe18.5Ni18.5,1.0,5.07
325,Al25.9Cr18.5Fe18.5Co18.5Ni18.5,1.0,5.07
326,Al25Co16.7Cr16.7Cu8.3Fe16.7Ni16.7,1.0,5.9
327,Al25Co16.7Cr16.7Fe16.7Ni16.7Mo8.3,1.0,6.52
328,Al25Co25Cr25Fe25,1.0,7.06
329,Al25Co25Cr25Ni25,1.0,6.98
330,Al25Co25Fe25Ni25,1.0,4.38
331,Al25Cr16.7Fe16.7Co16.7Cu8.3Ni16.7,1.0,5.9
332,Al25Cr16.7Fe16.7Co16.7Ni16.7Mo8.3,1.0,6.52
333,Al26.5Co14.7Cr14.7Cu14.7Fe14.7Ni14.7,1.0,5.92
334,Al26.5Cr14.7Cu14.7Fe14.7Ni29.4,1.0,5.59
335,Al26.5Cr14.7Fe14.7Co14.7Cu14.7Ni14.7,1.0,5.92
336,Al26.5Cr14.7Fe14.7Cu14.7Ni29.4,1.0,5.59
337,Al27.3Co18.2Cr18.2Cu18.2Fe18.2,1.0,5.0
338,Al27.3Co18.2Cr18.2Fe18.2Ni18.2,1.0,5.0
339,Al27.3Cr18.2Cu18.2Fe18.2Ni18.2,1.0,5.62
340,Al27.3Cr18.2Fe18.2Co18.2Cu18.2,1.0,5.0
341,Al27.3Cr18.2Fe18.2Co18.2Ni18.2,1.0,5.0
342,Al27.3Cr18.2Fe18.2Cu18.2Ni18.2,1.0,5.62
343,Al28.6Co14.3Cr14.3Cu14.3Fe14.3Ni14.3,1.0,5.6
344,Al28.6Co14.3Cr14.3Fe14.3Ni14.3Ti14.3,1.0,7.15
345,Al28.6Cr14.3Cu14.3Fe14.3Ni28.6,1.0,5.56
346,Al28.6Cr14.3Fe14.3Co14.3Cu14.3Ni14.3,1.0,5.6
347,Al28.6Cr14.3Fe14.3Cu14.3Ni28.6,1.0,5.56
348,Al29Co22Cr34Fe5Ni10,1.0,6.86
349,Al29Cr34Fe5(Co11Ni5)2,1.0,6.86
350,Al2Co19.6Cr19.6Fe19.6Ni19.6Mn19.6,1.0,1.77
351,Al2Cr1Fe1Co1Ni1Mo0.5,1.0,5.93
352,Al2Cr2Fe2Co2CuNi,1.0,5.92
353,Al2Cr2Fe2Co2NiMo,1.0,6.94
354,Al2Cr2Fe2CoCuNi2,1.0,5.4
355,Al2Cr2Fe2CoNi2Mo,1.0,7.86
356,Al2Cr2FeCo2CuNi2,1.0,5.75
357,Al2Cr2FeCo2Ni2Mo,1.0,7.4
358,Al2Cr3Fe5(CoNi)5,1.0,1.87
359,Al2Cr7Fe(CuNi)5,1.0,4.63
360,Al2CrFe2Co2CuNi2,1.0,5.35
361,Al2CrFeCo,1.0,7.6
362,Al2CrFeCoCuNi,1.0,5.49
364,Al3.2Co24.2Cr16.1Fe16.1Ni24.2Ti16.1,1.0,6.59
365,Al3.5Co26.3Cr17.5Fe17.5Ni26.3Ti8.8,1.0,4.72
366,Al3.8Co19.2Cr19.2Fe19.2Ni19.2Mn19.2,1.0,1.68
367,Al3.8Cr19.2Cu19.2Fe19.2Ni38.5,1.0,1.59
368,Al3.8Cr19.2Fe19.2Cu19.2Ni38.5,1.0,1.59
369,Al30.6Cr13.9Cu13.9Fe13.9Ni27.8,1.0,5.65
370,Al30.6Cr13.9Fe13.9Cu13.9Ni27.8,1.0,5.65
371,Al30.8Co15.4Cr15.4Cu7.7Fe15.4Ni15.4,1.0,5.97
372,Al30.8Co15.4Cr15.4Fe15.4Ni15.4Mo7.7,1.0,6.03
373,Al30.8Cr15.4Fe15.4Co15.4Cu7.7Ni15.4,1.0,5.97
374,Al30.8Cr15.4Fe15.4Co15.4Ni15.4Mo7.7,1.0,6.03
